TOKENS;AI;GAMING;MEMES;top;Symbol;1h%;24h%;7d%;Volumen (24h) USD;Volumen (24h) Tokens;ACC. CIRCULACION;CAP. USD;Precio USD;Alameda Research;Arrington XRP Capital;Binance Labs;Blockchain Capital;CMS Holdings;Coinfund;DCG;DeFiance Capital;DWF Labs;eGirl Capital;Fabric Ventures;Fenbushi Capital;Multicoin Capital;Pantera Capital;Paradigm;Placeholder Ventures;Play_To_Earn;Polychain Capital;Three Arrows Capital;USV;BITCOIN;CARDANO;ETHERIUM;SOLANA;TRON;OTHER
RUSH COIN;0;1;0;2153.0;RUSH;0.01;3.07;-38.99;123.0;1521805.0;1584249827.0;128391.0;8,10E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Myro;0;0;1;339.0;MYRO;1.71;4.76;-32.62;24784514.0;164499404.0;944203815.0;142743572.0;0.1512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Star Atlas DAO;0;1;0;495.0;POLIS;-0.16;3.06;-21.43;640679.0;2147308.0;248789502.0;74061843.0;0.2976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
LICKGOAT;0;0;1;6032.0;LICK;0.02;15.19;-22.05;1431.0;28712844.0;999999660.0;49824.0;4,98E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FLOKI;0;1;1;64.0;FLOKI;0.28;1.83;-28.15;140095291.0;1014302483719.0;9568393313435.0;1321986170.0;0.0001382;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Andrea Von Speed;0;0;1;4229.0;VONSPEED;1.4;6.29;-35.88;39835.0;65744753.0;1000000000.0;605905.0;0.0006059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Zoomer Coin;0;0;1;3927.0;ZOOMER;2.87;8.08;-16.99;70056.0;2927750994.0;69000000000.0;1651044.0;2,39E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Zuzalu Inu;0;0;1;2515.0;ZUZALU;0.7;1.78;-31.04;5949371.0;2786691883.0;1000000000.0;2134922.0;0.002135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
OmniCat;0;0;1;2569.0;OMNI;1.27;-2.12;4.34;3041712.0;5584656888.0;45823000001.0;24957733.0;0.0005447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Douglas Adams;0;0;1;5689.0;HHGTTG;0.0;-4.72;-55.43;3057.0;10256291879.0;987678985570.0;294366.0;2.98e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
