;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
132;351;Node AI GPU;$1.54;+2.53%;+8.57%;-2.72%;$139.3M $139,296,794;$2,122,917 1,397,029 GPU;90,264,133 GPU
133;359;Sleepless AI AI;$0.9505;+0.37%;+4.53%;-20.78%;$133.79M $133,791,245;$26,418,619 27,828,215 AI;140,937,500 AI
134;364;Hooked Protocol HOOK;$0.9506;-0.04%;+4.73%;-12.96%;$132.17M $132,168,423;$10,538,518 11,107,622 HOOK;139,254,295 HOOK
135;369;Zignaly ZIG;$0.09006;-0.08%;-0.11%;+3.23%;$128.99M $128,985,292;$3,681,564 40,907,214 ZIG;1,433,308,739 ZIG
136;390;Solidus Ai Tech AITECH;$0.2139;-0.16%;+1.57%;+13.82%;$118.13M $118,134,299;$7,518,560 35,138,666 AITECH;552,508,592 AITECH
137;397;ChainGPT CGPT;$0.2682;+1.48%;+9.31%;-4.23%;$116.04M $116,037,148;$7,149,930 26,726,542 CGPT;432,386,054 CGPT
138;405;dKargo DKA;$0.02992;-0.97%;-7.65%;-15.88%;$110.91M $110,913,473;$5,020,940 167,417,414 DKA;3,716,250,000 DKA
139;410;Victoria VR VR;$0.02051;-0.56%;+0.02%;-22.09%;$109.46M $109,464,565;$1,426,736 69,535,723 VR;5,336,247,368 VR
140;415;NFPrompt NFP;$0.4277;+0.24%;+5.70%;-21.79%;$106.81M $106,811,848;$14,209,314 33,276,091 NFP;250,000,000 NFP
141;419;TokenFi TOKEN;$0.1064;+1.36%;+7.54%;-7.21%;$106.05M $106,046,148;$17,887,361 168,680,341 TOKEN;1,000,019,789 TOKEN
142;427;CUDOS CUDOS;$0.01766;+0.21%;-0.59%;-12.13%;$103.17M $103,165,741;$911,035 51,613,138 CUDOS;5,843,157,717 CUDOS
143;452;Phoenix PHB;$1.88;+1.25%;+8.74%;+6.29%;$92.17M $92,172,919;$17,527,187 9,311,892 PHB;49,096,629 PHB
144;473;Forta FORT;$0.2253;+1.04%;-5.08%;+14.56%;$87.48M $87,478,273;$2,491,131 11,070,862 FORT;388,388,554 FORT
